label	comment
暴雨	四川宜宾暴雨致2人死亡边坡垮塌夫妻二人被埋
暴雨	多地暴雨持续各地积极应对险情
暴雨	海神即将杀到大庆明日大雨黑龙江省政府启动气象灾害(暴雨、大风)Ⅲ级应急响应
暴雨	应对近期高温和暴雨安徽高速开展突发事故应急救援演练
暴雨	暴雨大雨大暴雨中央气象台:未来两天(6月2526号)天气预报
暴雨	暴雨侵袭浙江全省多座水库超汛限浙江新闻浙江在线
暴雨	广州日报数字报遭遇罕见连续暴雨四川全力应对汛情
暴雨	端午节小长假最后一天暴雨来袭泰州人快看看具体什么情况呢
暴雨	大范围雨水来了3省区有暴雨,四川西藏降水最强,最新天气预报
暴雨	云南昭通暴雨已致3人死亡1人失踪90间房屋倒塌
暴雨	雨大雨暴雨保山等地滑坡泥石流等地质灾害风险较高
暴雨	广西钦州突降暴雨致村民被困消防紧急救援
暴雨	暴雨导致坎昆郊外两车相撞
暴雨	我市启动气象灾害暴雨、大风Ⅳ级应急响应
暴雨	特兰加纳政府宣布因暴雨而休假:最新动态
暴雨	暴雨袭川应急志愿服务防汛工作怎么做
暴雨	宜昌暴雨致多地发生险情当地消防转移营救一千多人
暴雨	暴雨突袭黔西县城消防员多线出击疏散转移被困群众
暴雨	暴雨预报未来三天雨势凶猛,局地伴有强对流天气
暴雨	紧急扩散,广元暴雨部分景区临时关闭,道路塌方、火车晚点,出行注意安全
暴雨	暴雨来袭,鸡公山景区应急防汛总动员
暴雨	极端暴雨导致临海汇溪32名民工被困,警民火速救援
暴雨	宜昌暴雨致多地发生险情当地消防转移营救一千多人
暴雨	孟买高等法院因暴雨暂停听证会
暴雨	中央气象台:今后两天(6月2627日)全国天气预报,暴雨大暴雨
暴雨	暴雨导致皖湘黔等地受灾部分地区启动防汛应急响应
暴雨	暴雨夜袭怀化靖州消防连夜营救转移80余人
暴雨	多地暴雨雷电天气贵州继续发布暴雨及强对流预报
暴雨	多地暴雨来袭,福建公安交警提示注意行车安全政务澎湃新闻ThePaper
暴雨	坦桑尼亚暴雨成灾致12人死亡
暴雨	四川特大暴雨凉山消防救援
暴雨	武汉遭遇暴雨,长江武汉段水位逼近警戒线正在直播澎湃新闻ThePaper
暴雨	苏格兰暴雨洪灾导致火车脱轨死亡的原因调查开始
暴雨	广西全省雨水持续5市雨势强劲局地有暴雨
暴雨	南方多地暴雨持续各地积极应对险情
暴雨	暴雨导致42米大树倒塌当地迅速开展抢险救援上游新闻汇聚向上的力量
暴雨	湖南解除暴雨三级应急响应
暴雨	梧州:端午假期降雨频繁局部有暴雨天气广西新闻网
暴雨	金正恩亲自驾驶雷克萨斯,视察和报道暴雨现场
暴雨	刚刚,东莞惊现龙吸水接下来暴雨8级大风继续政务澎湃新闻ThePaper
暴雨	暴雨袭城网友拍下的这一幕,朋友圈狂点赞上游新闻汇聚向上的力量
暴雨	昨夜暴雨突袭井陉县城,今晨街头景象令人感动政务澎湃新闻ThePaper
暴雨	日本九州暴雨致52人死亡近140万民众被要求紧急避难
暴雨	韩国连降暴雨致人员伤亡紧急应对级别提高至第3级
暴雨	周末的风暴系统带来阵阵风和暴雨以下是天气到来的时间,以及打算做什么
暴雨	下半年第一股冷空气来袭暴雨强对流天气,东莞接下来会降温
暴雨	大雨暴雨大范围降雨开始节前国庆天气这样变→政务澎湃新闻ThePaper
暴雨	安徽今明天强降雨持续在线,沿江江南等局地有大暴雨
暴雨	泸州市沉着应对6.26暴雨袭击
暴雨	云南贡山暴雨灾害已致5人失踪2人受轻伤当地发通报寻找失踪人员
暴雨	桂林暴雨,猪都上楼了还有市民抓大鱼,心真大呀大河报网
暴雨	日本熊本县持续暴雨已致5人死亡16人心肺停止
暴雨	廣西容縣:暴雨內澇致群眾被困消防緊急救援
暴雨	注意本周四川盆地迎来今年最强降雨,暴雨大暴雨增多
暴雨	未来三天北方多地有较强降雨中国气象局启动暴雨三级应急响应
暴雨	甘肃河东遇入汛以来最强降水静宁五地出现降水超100毫米大暴雨
暴雨	视频今明两天重庆仍有雨要来局地或遭遇大到暴雨
暴雨	暴雨再次来袭,致敬乘风破浪的蜀黍政务澎湃新闻ThePaper
暴雨	广西钦州突降暴雨致村民被困消防紧急救援
暴雨	中新网湖北湖北新闻网双节期间一头一尾多云中间插播七级大风暴雨降温
暴雨	面对暴雨,城建人在行动
暴雨	四川冕宁特大暴雨已致3死12人失联今明将迎本轮强降雨最强时段
暴雨	卡拉布拉吉暴雨造成518头牛死亡
暴雨	暴雨下周又来气温跌破2字头夏天就要结束了吗媒体澎湃新闻ThePaper
暴雨	暴雨袭城,普惠社工为社区居民撑起安全伞
暴雨	中央气象台发布:大面积倾盆大雨大暴雨今起三天将分布全国如下
暴雨	政府宣布暴雨灾区为特别灾区
暴雨	安徽启动防汛Ⅳ级应急响应25日前局部有大暴雨万家热线安徽门户网站
暴雨	汛期天气盘点之暴雨:入汛以来全国共出现30次大范围强降雨过程中国气象局政府门户网站
暴雨	暴雨来袭中国石化湘西分公司抗灾保供在行动
暴雨	四川木里暴雨引发泥石流,紧急疏散318户1447人
暴雨	四川省水利厅赴雅安乐山宜宾调研指导8.11、8.18特大暴雨洪灾灾后恢复重建等工作
暴雨	30秒重庆万州暴雨致8000多人受灾救援进行进行中
暴雨	今明南平市仍有持续性暴雨天气过程局部大暴雨闽南网
暴雨	暴雨袭击伊斯坦布尔,至少一人死亡
暴雨	汨罗再遇大暴雨最大降雨量达114.3毫米请广大市民注意出行安全
暴雨	危急一老人因暴雨被困河中,在水里浸泡近两小时
暴雨	日本福冈、佐贺、长崎发布最高级暴雨警报
暴雨	常德人,最低17℃豪华版暴雨套餐即将送达,请注意查收媒体澎湃新闻ThePaper
暴雨	中央气象台:今明两天(6月2324号),以下城市将迎来暴雨大暴雨
暴雨	四川冕宁特大暴雨已致16人遇难,网友:愿平安
暴雨	永州暴雨致5人失联,网友热议:这几天南方很多地方都在下暴雨
暴雨	日本暴雨受灾地居民:凌晨四点,空气中充满煤气泄漏和污水味
暴雨	注意保暖贵州平均气温降5℃以上,这些地方还有大到暴雨
暴雨	实拍重庆江津暴雨,路面积水深1米,司机十公里走2小时上游新闻汇聚向上的力量
暴雨	20余座水库超汛限,湖南启动湘西北地区气象灾害(暴雨)IV级应急响应
暴雨	墨西哥韦拉克鲁斯,暴雨造成3人死亡,1700栋建筑受损
暴雨	刚刚发布合肥今天将再迎暴雨
暴雨	昨日安徽122个站点出现大暴雨未来一周雨水持续在线
暴雨	暴雨侵蚀致使四川资中一处路面沉降垮塌已进行排危处理
暴雨	未来三天广东仍有暴雨,10地市启动防汛应急响应
暴雨	江苏暴雨来袭大雨暴雨大暴雨,下午启动,最新天气预报
暴雨	大雨暴雨大暴雨未来三天(6月2628号)全国天气预报
暴雨	又一轮强降雨来袭,局地有280毫米特大暴雨,6月2830号天气预报
暴雨	新一轮暴雨席卷日本,造成至少四人死亡
暴雨	暴雨持续,各地消防昼夜救援未来10天最关键政务澎湃新闻ThePaper
暴雨	断崖式降温今起,气温猛降10℃贵州多地暴雨、大暴雨,注意添衣媒体澎湃新闻ThePaper
暴雨	组图淄博狂风暴雨后,墙堰坍塌、车辆被砸、大树折断
暴雨	夏至已过,夏炙继续端午又来雷雨,局地暴雨
暴雨	六盘水暴雨致多人被困,消防队员紧急援救
暴雨	熊本暴雨复兴县发表计划明确表示推进流水型水库
暴雨	贵州再次开启暴雨模式多地区地质灾害风险高
暴雨	中央气象台:新一轮中雨大雨暴雨,卷土重来,2629号天气预报
暴雨	雨雨雨浙江今日雨水继续刷屏局地需防短时暴雨
暴雨	紧急大雨暴雨大到暴雨冰雹,大范围降雨来了,25号天气预报
暴雨	熊本暴雨,长时间的避难生活坏掉了的家里住的受灾者多数
暴雨	日照将迎中到大雨,局部暴雨雨后气温骤降媒体澎湃新闻ThePaper
暴雨	局地大暴雨明起陕西多地将迎较强降水天气
暴雨	武汉启动城市排渍Ⅲ级应急响应重庆暴雨致21万余人受灾
暴雨	龙山:深夜暴雨小区被淹消防紧急疏散被困人员
暴雨	英国广播公司天气:雷雨惊扰欧洲大陆暴雨倾盆大雨
暴雨	日媒:日本九州暴雨死亡增至66人熊本县八成为溺亡
暴雨	日本熊本县暴雨已致22人死亡伤亡人数或继续上升
暴雨	中央气象台:未来两天(6月34日)全国天气预报,一大片大到暴雨
暴雨	猛烈的暴雨袭击查尔斯顿,提醒人们气候变化是如何使天气变好的
暴雨	高考期间暴雨高温南北夹击多地部署应对极端天气
暴雨	日本九州一处农药仓库因暴雨受损674公斤农药泄漏
暴雨	大雨到暴雨又来了梅雨端午继续耍宝
暴雨	10级气旋风暴突现,太空可见,狂风大暴雨即将强袭全国以下区域
暴雨	高温天气继续发酵,大雨暴雨再次出击,今日午间4日天气预报
暴雨	连续暴雨袭城,雨天这些交通安全你要注意
暴雨	今晚,大雨局部暴雨未来三天雨雨雨媒体澎湃新闻ThePaper
暴雨	暴雨致湖北随州多地受灾消防连夜转移300余人
暴雨	湖北恩施建始暴雨破历史极值,已致5死1失联七环视频澎湃新闻ThePaper
暴雨	中雨大雨暴雨马上到滨州山东大范围强降雨登场媒体澎湃新闻ThePaper
暴雨	暴雨袭击海得拉巴19人死亡
暴雨	暴雨致部分道路受损浙江新昌清理坍方1800余立方米
暴雨	湖北咸宁普降暴雨消防紧急救援转移被困民众
暴雨	重庆近两日暴雨致18万余人受灾造成3人死亡4人失踪
暴雨	华北地区雷雨频繁广西东北部局地有大暴雨社会人民网
暴雨	安徽今后四天雨势猛烈局地暴雨到大暴雨需防地质灾害
暴雨	暴雨大风雷暴陕西未来20天将进入多雨时段
暴雨	中央气象台:6月2022日天气预报,强降雨大到暴雨卷土重来
暴雨	大唐国际有效应对暴雨保发电保安全
暴雨	日本熊本暴雨已致22人死亡10人失踪受持续暴雨天气影响,日本九州地区熊本县出现河流泛滥、山体塌方等自然灾害。截至7月6日上午,暴雨已致22人死亡,10人失踪。由于梅雨前线依然保持活跃状态,从西日本
暴雨	鲁山大暴雨致河水暴涨公安消防救出40余名被困人员
暴雨	咸阳暴雨造成嘉惠商场23间商铺倒塌幸无人员伤亡
暴雨	深圳连续两日现大暴雨消防官兵用冲锋舟救援被困群众
暴雨	保定800年古城墙因暴雨发生垮塌
暴雨	暴雨雨雨雨雨降降降降降温接下来几天,贵州全是雨来看看你家要下到啥时候媒体澎湃新闻ThePaper
暴雨	大雨暴雨霜冻冰冻河北大范围降雨开始邯郸天气
暴雨	中央气象台:6月2324日天气预报,一大片的暴雨大暴雨
暴雨	湖北恩施干部群众积极应对暴雨灾害
暴雨	浙江衢州暴雨积水严重消防员借吊车营救被困者
暴雨	新一股弱冷空气将影响广东今天韶关清远局部有暴雨
暴雨	新一轮大范围降雨横跨南北暴雨大雨中雨,811号天气预报
暴雨	河东区域性暴雨经济损失逾8000万元河东
暴雨	江西萍乡遭遇暴雨多地出现险情消防力量持续抢险救援大河报网
暴雨	日本熊本县暴雨致16死多地成孤岛居民地面写SOS求救
暴雨	四川在线西昌响水沟暴雨引发泥石流308人提前转移成功避险
暴雨	山西对汛期安全生产发出通知:暴雨威胁矿井安全时
暴雨	宜昌暴雨突袭围困百余名群众消防紧急救援广西新闻网
暴雨	暴雨之后,记者探访河北邢台西部山区防汛一线
暴雨	中央气象台:大雨暴雨持续不休息,2125号,天气预报
暴雨	湘潭暴雨一货车侧翻农田,车内两人没系安全带被甩到轮胎下
暴雨	四川冕宁特大暴雨致19人遇难3人失联北京青年报
暴雨	应急响应升级今晚开始贵州叒有暴雨、大暴雨媒体澎湃新闻ThePaper
暴雨	暴雨、大暴雨来袭贵阳启动四级应急响应
暴雨	大雨局部暴雨泉州启动应急响应,晋江本周天气
暴雨	四川冕宁626特大暴雨灾害受灾最严重区域画面曝光
暴雨	巴基斯坦:旁遮普省暴雨致24人死亡
暴雨	暴雨造成凤凰县境内28公里干线公路水毁公路全力保畅通
暴雨	暴雨来袭围墙倒塌肥城阳光国际小区15辆车被砸损失由谁承担
暴雨	暴雨大暴雨,今夜扑袭寿光呼吁扩散做好准备媒体澎湃新闻ThePaper
暴雨	开州大暴雨福山村多处房屋倒塌,交通中断上游新闻汇聚向上的力量
暴雨	浙江人注意暴雨今夜来袭南方将迎今年最大规模强降雨
暴雨	昨日南通各地突降暴雨最大小时雨强达全国第一
暴雨	甘肃陇南大暴雨致2人遇难多处道路因泥石流等灾害中断
暴雨	注意强对流天气来了江西中南部有大到暴雨江西新闻网中国江西网首页
暴雨	湖南局地大暴雨5人失联8个乡镇20个村进水
暴雨	暴雨来袭江西启动防汛四级应急响应接下来的天气媒体澎湃新闻ThePaper
暴雨	吉林辽宁迎来强降雨,暴雨大暴雨遍地,致灾风险高
暴雨	今日立秋大雨暴雨将抵安徽还有78级雷暴大风万家热线安徽门户网站
暴雨	防汛保安全,本周内甘肃多地仍有大到暴雨天气
暴雨	安徽突发下列倾盆大雨大雨暴雨雷阵雨将分布安徽如下
暴雨	雨阵雨暴雨这场大雨还要继续下到下周
暴雨	广州暴雨引发泥石流:致2人死亡
暴雨	连续性暴雨来袭福建省启动防暴雨Ⅳ级应急响应
暴雨	下暴雨的端午节,杭州水利工程集体发力,江河水位均低于警戒线
暴雨	确认了又一轮大雨暴雨大暴雨,即将启动,78日最新预报
暴雨	暴雨致桂林临桂区四村庄被淹当地政府紧急救灾
暴雨	四川冕宁发生特大暴雨灾害,已造成3人死亡12人失联
暴雨	罗城遭遇新一轮暴雨袭击山洪暴发河水猛涨(图)广西新闻图集
暴雨	20小时降雨量达301毫米特大暴雨致荆门一地街道被淹荆楚网湖北日报网
暴雨	贵州人,暴雨大暴雨特大暴雨今晚来袭未来几天还有媒体澎湃新闻ThePaper
暴雨	还有暴雨刚刚,苏州连夜作出部署
暴雨	沅陵:暴雨致国道塌方中断公路部门全力抢修保畅通
暴雨	湖北遭遇入汛以来暴雨范围最广降雨天气
暴雨	日本熊本县持续暴雨已致7人死亡仍有4人失踪
暴雨	辽宁新确认下一场倾盆大雨时间中雨大雨暴雨有望分布辽宁如下
暴雨	我区启动暴雨Ⅳ级应急响应
暴雨	黄岛供电紧急抢修应对暴雨天气大众日报数字报
暴雨	暴雨、大暴雨、雷暴大风强对流天气今晚又来
暴雨	新一波龙舟水周五起影响广东局地有大暴雨或特大暴雨雷雨时或伴有雷暴大风政务澎湃新闻ThePaper
暴雨	湖州、嘉兴地区出现大暴雨,消防员闻汛而动
暴雨	暴雨导致安徽湖南贵州等地受灾部分地区启动防汛应急响应
暴雨	23日受台风美莎克影响本溪有暴雨局部大暴雨媒体澎湃新闻ThePaper
暴雨	368名师生被暴雨困在校园达州宣汉消防筑人墙救出
暴雨	靖边县8月4日晚预计有大到暴雨局地大暴雨靖边新闻信息网
暴雨	直击日本暴雨:52人死亡,140万人被要求避难,15座桥被冲毁
暴雨	大暴雨5500多群众紧急转移四川日报电子版
暴雨	济南发布暴雨预报今晚开始,连下三天山东多地有强降水媒体澎湃新闻ThePaper
暴雨	重大气象灾害(暴雨)应急响应提升为三级
暴雨	暴雨、大暴雨又来了湖南高温天气彻底熄火媒体澎湃新闻ThePaper
暴雨	又一轮暴雨大雨强势来袭,波及8个省区今天下午26号天气预报
暴雨	日本熊本县等地暴雨致70人死亡,安倍将视察灾区
暴雨	柬埔寨全境连降暴雨引发严重洪灾
暴雨	九江:暴雨突袭水深达1米,小车被困水中,里面传来婴儿哭声
暴雨	暴雨不停这里已有44万人受灾水利部发声
暴雨	未来9天,中雨大雨暴雨,持续不休息,6月715号,天气预报
暴雨	凉山一小学遭遇暴雨泥石流袭击,救援力量紧急施救
暴雨	再升级贵州将防汛应急响应提升至Ⅲ级今晚,大暴雨来袭
暴雨	明后两天赣北有暴雨江西组织7.9万台收割机抢收早稻
暴雨	日本7月以来暴雨灾害致死人数升至70人
暴雨	新一轮大雨暴雨,接踵而至官方预报:局地大暴雨
暴雨	「原创」政和供电公司:暴雨来袭紧急抢修受损线路
暴雨	湖南启动暴雨Ⅳ级应急响应
暴雨	强降雨造成广西超32万人受灾,暴雨来临如何安全避险
暴雨	冷空气影响新疆将迎降雨天气,这些地方有暴雨天山网
暴雨	贵州惠水遭遇特大暴雨多部门联合参与抢险救灾工作
暴雨	修水遭暴雨侵袭城市道路积水部分农田被淹
暴雨	启动防暴雨Ⅳ级应急响应福建省防御强降雨工作视频会议召开中新网福建
暴雨	特大暴雨致梅州1人遇难,广州4人遇难梅州下一波强降雨又要来了
暴雨	重庆17个区县出现暴雨3条河流水位超警戒超保证
暴雨	英国天气预报:本周暴雨带来150毫米降雨
暴雨	中央气象台:6月2728日天气预报,暴雨大暴雨席卷而来
暴雨	江西:启动暴雨四级应急响应
暴雨	2527日,28日10月1日两轮降雨过程接力,大雨加暴雨持续到国庆腾讯新闻
暴雨	强降雨随处可见,暴雨大暴雨广泛,多地有大暴雨出现
暴雨	广西将重大气象灾害(暴雨)III级应急响应提升为II级
