comment,pos
台风海神带来大暴雨吉林延边部分群众连夜转移,1
"如今荒芜的火星也曾洪水滔天,说明一个真相",1
埃及发生里氏5.2级地震暂无人员伤亡记录,3
"2020年8月8日星期六,美国爱达荷州斯坦利西南13公里处发生3.0级小地震",3
北京多区突降冰雹局地将有较强降雨,1
"永州暴雨致5人失联,网友热议:这几天南方很多地方都在下暴雨",2
大风和大雨袭击了美国弗吉尼亚州造成多人断电,0
"雷雨大风冰雹,又来山东发布重要天气预报媒体澎湃新闻ThePaper",4
"由于降雨和融雪,不列颠哥伦比亚省部分地区的洪水风险上升,其他地区的洪水风险下降",1
"3.1级轻微地震2020年8月16日星期日,菲律宾大方索省长(达沃东方)(菲律宾)东经61东经051公里",3
暴雨造成凤凰县境内28公里干线公路水毁公路全力保畅通,2
"夏至已过,夏炙继续端午又来雷雨,局地暴雨",2
浙江:提升暴雨应急响应至三级应对新一轮强降水,2
浙江人注意暴雨今夜来袭南方将迎今年最大规模强降雨,2
"贵州人,暴雨大暴雨特大暴雨今晚来袭未来几天还有媒体澎湃新闻ThePaper",2
夏天的暴脾气河南这些地方可能出现冰雹、短时强降雨,4
"2020年7月28日,星期二,波多黎各瓜亚尼拉东南3公里处发生3.2级小地震",3
周末狂风暴雨将给犹他州带来雨雪和大风,0
四川凉山冕宁暴雨引发洪水108国道、灵山景区道路中断,1
"3.1级小地震2020年7月25日星期六,内华达州(美国)米纳市东南30公里处",3
"最新天气预报盖州:12日夜间到13日有中雨,局部大到暴雨",1
"冰雹造成雪景,严重雷暴袭击新南威尔士州和昆士兰州",4
旺娜率队到卧龙特区调研指导山洪泥石流灾害抢险救灾工作,1
"轻磁4.6级地震马里亚纳群岛地区(北马里亚纳群岛),2020年7月17日,星期五",3
强降雨雷暴大风冰雹马上就到铜川人请注意,4
"轻磁4.0级地震2020年7月10日,星期五,OAX(墨西哥)29公里的北伊达尔戈",3
罗城遭遇新一轮暴雨袭击山洪暴发河水猛涨(图)广西新闻图集,2
"4县区15万余人受灾,3万余亩农作物绝收,天水遭遇最强冰雹灾害,全市紧急动员抗灾救灾",4
"美国龙卷风致数人死亡,约300所房屋被毁,冰雹有棒球那么大",4
"未来两小时,黑龙江这些地方将出现雷雨大风天气局地伴有冰雹",4
"明起河北将迎中到大雨,局地伴有冰雹、大风中国唐山环渤海新闻网",4
广东确认敲响全新警钟广东下列区域暴雨大暴雨来袭,2
印尼北苏拉威西发生6.9级地震,3
战暴雨斗冰雹四平交警全力守护群众生命财产安全政务澎湃新闻ThePaper,4
长江2020年第1号洪水形成省水利厅调度沿江涵闸全力排水,1
广西钦州突降暴雨致村民被困消防紧急救援,2
气旋尾端乌埃西给新西兰带来暴雨、大风,0
大风可以在雨雪中刮,0
"洪水:卡诺54人死亡,30356间房屋被毁",1
地震发生后幼儿园老师带176名孩子17秒撤离,3
四川盆地强降水持续华北和东北地区多阵雨或雷阵雨,1
"2.9级小地震2020年8月9日星期日,多洛雷斯(东萨马)(菲律宾)东经70东经041公里",3
"随着暴雨持续,为萨默塞特发出了几次洪水警报",1
重要提醒强对流天气要来可能出现雷暴大风、冰雹、龙卷,4
"2020年8月9日,星期日,土耳其西部海岸附近2.9级小地震",3
冷空气影响西北地区东部华北等地东部和南部海域有大风中新网,0
注意雨水大风降温,0
警惕风王海神已在路上大庆明后天将迎大雨大风天气,0
累计降雨量超过150毫米主城区投入1500余人次抢险排涝,1
"10年一遇超大风暴热带风暴芒果转强,澳大利亚或首当其冲",0
印度古吉拉特邦发生4.5级地震多地有震感,3
精准帮扶因洪涝灾害返贫的困难群众,1
四川贵州局地有大暴雨内蒙江苏等地有雷暴大风或冰雹融媒热头条新闻映象网,4
广西多地有降雨伴有雷暴大风,0
黄岛供电紧急抢修应对暴雨天气大众日报数字报,2
"墨尔本在高峰时段遭遇大冰雹,造成山洪威胁",4
湖北确认倾盆大雨假期卷土重来大雨暴雨将分布湖北如下,1
弥勒未来连续阴雨注意大风、冰雹...媒体澎湃新闻ThePaper,4
7级大风来袭河南这些地方有雨,0
长春遭遇罕见强雨雪大风冰冻天气,0
"好消息北方降雨来了,中雨大雨暴雨大暴雨,811号分布如下",2
我国中东部自北向南将大风降温,0
州长凯特布朗宣布俄勒冈州东部洪水进入紧急状态,1
库斯科奎姆河流域正在分崩离析居民警惕洪水,1
星期三有大雨和大风,0
我省28日又有降雨、降温、大风天气,0
史诗般的冰雹风暴扑灭了北加州熊熊燃烧的野火,4
日媒:日本九州暴雨死亡增至66人熊本县八成为溺亡,2
广西永福连续暴雨袭击启动洪涝灾害二级响应,1
2020年6月13日星期六印度尼西亚苏姆巴瓦地区3.0级小地震,3
广西将重大气象灾害(暴雨)III级应急响应提升为II级,2
黔南贵定县:村庄被洪水围困救援人员连夜奋战6小时转移43人,1
四川丹巴县山洪泥石流堰塞湖自然泄流水位大幅下降,1
"3.5级小地震2020年8月17日,星期一,菲律宾卡廷根(马斯巴特)(菲律宾)南29东008公里",3
"轻磁4.7级地震阿尔及利亚北部,2020年8月8日,星期六",3
